qtr,oix,numericpubdate,terms,uniqueterms,ttr,mtld,hdd
1847Q1,3239510.491029273,18470216.81397545,553.8300283286119,305.85080264400375,0.5993544330078562,136.4169467587465,0.8604658328806555
1847Q2,3277784.87486631,18470521.386096258,574.4171122994652,308.07807486631015,0.5880226770767992,130.45630953458013,0.8573475290775575
1847Q3,3277525.397080292,18470770.153284673,596.4598540145986,296.53868613138684,0.5452081009315758,107.38204503748874,0.8382503623930437
1847Q4,3327071.167539267,18471121.14973822,577.7193717277487,302.04502617801046,0.567366664291368,112.38422825121614,0.8420897802880689
1848Q1,3289245.195402299,18480221.972831767,565.753396029258,302.86206896551727,0.5831097395269136,122.2298439822083,0.8534148473705495
1848Q2,3171566.094771242,18480516.545751635,566.0925925925926,304.53812636165577,0.5828393435208947,121.14024027293641,0.8540310108852552
1848Q3,3322587.229245283,18480816.866981134,576.8933962264151,302.7811320754717,0.5728252505474857,119.12277677312841,0.8523721208813144
1848Q4,3326016.0387453875,18481115.638376385,523.759225092251,289.56642066420665,0.5987879940492263,134.37847542421204,0.8592189204449849
1849Q1,3263090.356257046,18490207.886133034,486.3269447576099,286.58962795941375,0.6354058128021574,161.335378571492,0.8716624344740721
1849Q2,3269249.1856017997,18490526.026996624,515.5455568053993,287.72665916760405,0.6041242903114532,137.65426337948114,0.861112466110238
1849Q3,3236751.8370951912,18490822.649656527,503.07556427870463,281.071638861629,0.6029930616644827,134.05732306491666,0.8627525657212856
