entity,nertype,count
Pennsylvania,GPE,3502
TADA,GPE,3492
Zambia,GPE,3488
Leeds,GPE,3485
Diwali,GPE,3479
Calcutta,GPE,3461
Macao,GPE,3451
Nagpada,GPE,3441
Bombay Colaba,GPE,3436
West Berlin,GPE,3433
Darjeeling,GPE,3421
Amman,GPE,3413
SC,GPE,3410
Alaska,GPE,3395
Narmada,GPE,3392
SRINAGAR,GPE,3385
Titan,GPE,3375
B.A.,GPE,3371
Yokohama,GPE,3367
Indus,GPE,3363
Tsar,GPE,3362
Massachusetts,GPE,3360
i0,GPE,3354
Urn,GPE,3350
Rajputana,GPE,3343
Mombasa,GPE,3343
Hilton,GPE,3341
Veerappan,GPE,3339
Calicut,GPE,3332
GERMANY,GPE,3327
Bushire,GPE,3327
The1,GPE,3323
Ambala,GPE,3320
Buckingham,GPE,3317
West Africa,GPE,3311
Arabia,GPE,3281
Greenwich,GPE,3278
Quoting,GPE,3267
Plymouth,GPE,3267
Brighton,GPE,3261
Kuwaiti,GPE,3252
Maine,GPE,3250
West Bengal,GPE,3250
Kulkarni,GPE,3242
New Guinea,GPE,3212
Montreal,GPE,3203
Buoh,GPE,3202
Richmond,GPE,3197
ADEN,GPE,3197
Cologne,GPE,3184
Burmas,GPE,3171
Council,GPE,3165
NEW ORLEANS,GPE,3163
Mahalaxmi,GPE,3157
New Empire,GPE,3151
Madagascar,GPE,3151
Visakhapatnam,GPE,3140
Guinea,GPE,3136
Santa Cruz Maximum,GPE,3133
Kanara,GPE,3126
Harbhajan,GPE,3116
Powai,GPE,3108
Namibia,GPE,3102
Tashkent,GPE,3097
Auckland,GPE,3087
North,GPE,3084
Ecuador,GPE,3073
Calico,GPE,3067
NC,GPE,3052
Ankara,GPE,3029
SB,GPE,3017
Oolaba,GPE,3010
Cannes,GPE,3001
.t,GPE,2994
L1,GPE,2990
South Mumbai,GPE,2987
Maharashtra,GPE,2970
Sardesai,GPE,2962
Orissa,GPE,2954
Maroh,GPE,2952
Nawab,GPE,2951
Baltimore,GPE,2950
Istanbul,GPE,2938
Bhopal,GPE,2928
M.A.,GPE,2922
Sania,GPE,2902
New,GPE,2897
Sirpur,GPE,2889
Bassein,GPE,2883
EGYPT,GPE,2882
