entity,nertype,count
Ki,PERSON,4280
Czar,PERSON,4260
Sadat,PERSON,4248
Sardar,PERSON,4241
Minerva,PERSON,4240
Ko,PERSON,4235
Stevens,PERSON,4230
Thakur,PERSON,4229
Begum,PERSON,4223
Kolhapur,PERSON,4223
J.,PERSON,4221
Hitherto,PERSON,4219
Salman Khan,PERSON,4216
Dr Rao,PERSON,4216
Jyoti,PERSON,4213
Burrakur,PERSON,4211
Morton,PERSON,4207
Frances,PERSON,4186
Vasantrao Patil,PERSON,4184
Hu,PERSON,4182
Killick Nixon,PERSON,4170
Amin,PERSON,4168
Moonrise,PERSON,4167
Sullivan,PERSON,4154
Ihe,PERSON,4146
Herbert,PERSON,4145
Haryana,PERSON,4132
Ibrahim,PERSON,4122
Vyas,PERSON,4119
Nehru,PERSON,4109
Bandra,PERSON,4089
Maratha,PERSON,4084
Naidu,PERSON,4079
Ladakh,PERSON,4077
Andrews,PERSON,4074
Mukhya Samachar,PERSON,4074
Steve,PERSON,4067
Sastri,PERSON,4060
Earl,PERSON,4038
Henderson,PERSON,4030
Sanjay Gandhi,PERSON,4027
Ri,PERSON,4010
Mann,PERSON,4004
L.,PERSON,3997
Thompson,PERSON,3993
Jane,PERSON,3983
Queen Victoria,PERSON,3983
David Sassoon,PERSON,3983
Hall,PERSON,3968
Ray,PERSON,3964
Hussein,PERSON,3961
Robinson,PERSON,3954
Jim,PERSON,3954
Simpson,PERSON,3943
Dempo,PERSON,3942
Russias,PERSON,3940
Lok Dal,PERSON,3931
Wu,PERSON,3927
Pradhan,PERSON,3920
Rai,PERSON,3919
Iho,PERSON,3917
Fraser,PERSON,3911
Vidhan Sabha,PERSON,3905
Brezhnev,PERSON,3900
Till,PERSON,3897
Lenin,PERSON,3875
Gavaskar,PERSON,3853
Sampras,PERSON,3842
Ill,PERSON,3833
Gilbert,PERSON,3833
Tiie,PERSON,3830
Stanley,PERSON,3830
Kesri,PERSON,3818
lien,PERSON,3815
Madhya Pradesh,PERSON,3812
Dutt,PERSON,3802
Rahman,PERSON,3797
Ben,PERSON,3794
Saturn,PERSON,3776
Samuel Hoare,PERSON,3771
Clintons,PERSON,3770
Smuts,PERSON,3766
Davidson,PERSON,3756
Valentine,PERSON,3744
Hunt,PERSON,3743
Bennett,PERSON,3742
Ross,PERSON,3732
Salman,PERSON,3731
Saddam,PERSON,3730
Mathur,PERSON,3722
Maulana,PERSON,3721
Joe,PERSON,3708
Mahesh,PERSON,3705
Srivastava,PERSON,3702
Latham,PERSON,3700
Said,PERSON,3696
Kitchener,PERSON,3685
Patnaik,PERSON,3684
Aziz,PERSON,3683
Janata,PERSON,3680
Don Bosco,PERSON,3678
Vallabhbhai Patel,PERSON,3668
Volkart Bros,PERSON,3667
Armstrong,PERSON,3663
Kazi,PERSON,3660
Rao Bahadur,PERSON,3659
Godrej,PERSON,3646
Narayanan,PERSON,3640
Jayalalitha,PERSON,3638
Singh Yadav,PERSON,3630
Ms Bhutto,PERSON,3606
Chidambaram,PERSON,3598
Pai,PERSON,3595
Vengsarkar,PERSON,3593
Gopalan,PERSON,3591
Bradman,PERSON,3575
Md,PERSON,3574
Sanjiva Reddy,PERSON,3569
Nagpur,PERSON,3569
Bolton,PERSON,3547
Kumble,PERSON,3543
Ian,PERSON,3532
Macmillan,PERSON,3526
Parikh,PERSON,3521
