qtr,titlelen
1888Q4,24.936099834611337
1889Q1,24.302909466843893
1889Q2,23.912844692098872
1889Q3,24.002445691267443
1889Q4,24.259288960171077
1890Q1,24.945150201763564
1890Q2,24.380987690938753
1890Q3,23.956400058918838
1890Q4,24.151190794755152
1891Q1,24.005796710703695
1891Q2,23.72901023890785
1891Q3,24.002781437564046
1891Q4,24.118677592540266
1892Q1,24.203773080010702
1892Q2,23.623657474600872
1892Q3,24.062133645955452
1892Q4,24.642806918858106
1893Q1,24.267566309911587
1893Q2,23.904289940828402
1893Q3,
1893Q4,
1894Q1,24.232894736842105
1894Q2,24.051931144221033
1894Q3,23.63431494538919
1894Q4,24.130274709713962
1895Q1,24.526424260267923
1895Q2,24.32070472910319
1895Q3,24.330448136255757
1895Q4,24.37100213219616
1896Q1,
1896Q2,
1896Q3,
1896Q4,
1897Q1,24.464092664092664
1897Q2,24.48257328990228
1897Q3,23.903957189128292
1897Q4,24.4387769480062
1898Q1,24.35345979161101
1898Q2,23.967799642218246
1898Q3,
1898Q4,
1899Q1,23.41477034761971
1899Q2,22.811769991015275
1899Q3,22.60174152153987
1899Q4,23.074941792782305
1900Q1,22.705594855305467
1900Q2,22.71856374473034
1900Q3,22.653465346534652
1900Q4,22.831016825164593
1901Q1,22.447642757118405
1901Q2,22.591469552088576
1901Q3,22.60008087343308
1901Q4,22.622281571919114
1902Q1,22.895007059427545
1902Q2,22.701612903225808
1902Q3,22.664223220619533
1902Q4,22.766238868517547
1903Q1,22.63626566078405
1903Q2,22.279467930989068
1903Q3,22.359900210084035
1903Q4,22.385782234220336
1904Q1,22.452533333333335
1904Q2,22.33434730855707
1904Q3,22.2539704271632
1904Q4,22.556775610386254
1905Q1,22.245492903720752
1905Q2,22.208600682593858
1905Q3,22.048596851471594
1905Q4,22.145694463338323
1906Q1,22.10586233970165
1906Q2,21.652436672238654
1906Q3,21.26834888812075
1906Q4,21.50444316214657
1907Q1,21.418358864742906
1907Q2,21.279188948306594
1907Q3,20.810002070822115
1907Q4,21.397615782255514
1908Q1,21.266785191382557
1908Q2,21.198258029395753
1908Q3,20.952583523552605
1908Q4,21.340679792340094
1909Q1,21.157147174372923
1909Q2,21.30729483282675
1909Q3,21.294452347083926
1909Q4,21.831119359249854
1910Q1,21.55208227268099
1910Q2,21.758291873963515
1910Q3,21.548668233450844
1910Q4,21.577982560443917
1911Q1,21.21159217877095
1911Q2,21.26355792933443
1911Q3,21.205542963115597
1911Q4,21.351719046614637
1912Q1,21.09601699415826
1912Q2,21.18494271685761
1912Q3,21.10872497147007
1912Q4,21.221470746108427
1913Q1,21.0369384713647
1913Q2,20.861778471138845
1913Q3,20.950133937770453
1913Q4,21.17944915254237
1914Q1,20.982432432432432
1914Q2,20.82146575057256
1914Q3,20.647246137516216
1914Q4,20.850544135429264
1915Q1,20.786127167630056
1915Q2,20.775246370668643
1915Q3,21.073216520650814
1915Q4,21.207234747165966
1916Q1,21.270918245025175
1916Q2,21.375863834143843
1916Q3,21.639172558261325
1916Q4,21.894920558497834
1917Q1,21.7012987012987
1917Q2,21.68447037701975
1917Q3,21.287946108642682
1917Q4,21.709668232948882
1918Q1,21.377563661390226
1918Q2,21.62326869806094
1918Q3,21.78338658146965
1918Q4,21.731729401112403
1919Q1,21.594256259204712
1919Q2,21.453785260341174
1919Q3,21.463777550451038
1919Q4,21.70888888888889
1920Q1,21.68592721641502
1920Q2,21.400970402717128
1920Q3,21.4659
1920Q4,21.4480399408284
1921Q1,21.27615548249855
1921Q2,21.073997384481256
1921Q3,20.807675244010646
1921Q4,20.891932377487695
1922Q1,20.659971451876018
1922Q2,20.969889595182334
1922Q3,20.777913701067614
1922Q4,21.136202214330478
1923Q1,20.990663900414937
1923Q2,21.080205362236168
1923Q3,20.932992276055774
1923Q4,21.402088522705498
1924Q1,21.651577801958652
1924Q2,21.29950567025298
1924Q3,21.107433482673493
1924Q4,21.561488372093024
1925Q1,21.187771312459592
1925Q2,21.455227516320765
1925Q3,21.075222075222076
1925Q4,21.698401096391045
1926Q1,22.01396648044693
1926Q2,22.59783535026419
1926Q3,22.683939572959744
1926Q4,23.036061965631085
1927Q1,22.862339161992743
1927Q2,22.63878003066962
1927Q3,22.83117773019272
1927Q4,23.137096774193548
1928Q1,22.64320585842148
1928Q2,22.472329472329474
1928Q3,22.696600886725204
1928Q4,23.244642857142857
1929Q1,22.847321944375672
1929Q2,23.083784459065544
1929Q3,23.06084763686651
1929Q4,23.137104506232024
1930Q1,22.84869358669834
1930Q2,22.845593220338984
1930Q3,22.68
1930Q4,24.133495991634717
1931Q1,24.21631419939577
1931Q2,24.590674045178265
1931Q3,24.691823325424348
1931Q4,25.04884340871958
1932Q1,24.397250161483804
1932Q2,24.55144855144855
1932Q3,24.518657862407863
1932Q4,24.227232076315396
1933Q1,24.21079064428182
1933Q2,24.230949825596994
1933Q3,24.514772424807028
1933Q4,24.639019476158495
1934Q1,24.347751774914542
1934Q2,24.568172836253456
1934Q3,24.503726582958436
1934Q4,24.921454962415595
1935Q1,25.101504686729157
1935Q2,24.925506329113922
1935Q3,24.769221152644082
1935Q4,24.694058989607736
1936Q1,24.223533007334964
1936Q2,24.272743835782826
1936Q3,24.370644203381612
1936Q4,24.476328442855383
1937Q1,24.33400745749858
1937Q2,24.64724430138606
1937Q3,24.250348577802566
1937Q4,24.348887814313347
1938Q1,24.433971349464308
1938Q2,24.294818308241126
1938Q3,24.193387181126155
1938Q4,24.073315393486737
1939Q1,24.283837531637943
1939Q2,24.502321704964878
1939Q3,24.758770507749173
1939Q4,24.643798200514137
1940Q1,25.09930047439093
1940Q2,24.65609090909091
1940Q3,24.941372876362564
1940Q4,25.02597023635833
1941Q1,25.171697179614053
1941Q2,25.012216404886562
1941Q3,24.865695968705857
1941Q4,24.581514065385033
1942Q1,24.462564342536265
1942Q2,24.612601214574898
1942Q3,24.732959612689516
1942Q4,24.735537190082646
1943Q1,24.65070224719101
1943Q2,24.996576362012505
1943Q3,24.792533081285445
1943Q4,24.197032982860435
1944Q1,24.106507961044983
1944Q2,24.286124264600375
1944Q3,24.32446582708363
1944Q4,24.3868912797282
1945Q1,24.789626974347485
1945Q2,25.073816468476554
1945Q3,25.25755294589983
1945Q4,25.047428951620567
1946Q1,24.896093435360452
1946Q2,24.79243606201244
1946Q3,24.98196101251091
1946Q4,25.078769764751254
1947Q1,25.45089963147626
1947Q2,25.54191238416175
1947Q3,25.61248386501936
1947Q4,25.599910313901344
1948Q1,25.15572122633607
1948Q2,25.177601439790575
1948Q3,25.478208620413394
1948Q4,25.338984412662704
1949Q1,25.167872287353454
1949Q2,25.232648438763952
1949Q3,25.795744680851065
1949Q4,25.735186197205092
1950Q1,25.728150449164637
1950Q2,26.033251717873785
1950Q3,26.169406392694064
1950Q4,25.979816675480347
1951Q1,25.733762057877815
1951Q2,25.49946420917274
1951Q3,24.4958709429614
1951Q4,24.620127388535032
1952Q1,24.62663580521677
1952Q2,24.61099109997408
1952Q3,25.14668830666976
1952Q4,25.551800635953562
1953Q1,25.918349744842953
1953Q2,25.716024612092028
1953Q3,26.100908746686862
1953Q4,25.798821442149283
1954Q1,25.960332975972758
1954Q2,26.30661662328228
1954Q3,26.021478702807357
1954Q4,25.663926002055497
1955Q1,25.645116484626556
1955Q2,25.358249659104995
1955Q3,25.506321152273728
1955Q4,26.22990503382782
1956Q1,26.20374492601807
1956Q2,26.280870712401054
1956Q3,26.302668901495615
1956Q4,26.301590444136476
1957Q1,26.211332103068827
1957Q2,26.457241053979377
1957Q3,25.674919636139798
1957Q4,25.81969686578424
1958Q1,25.772625033077535
1958Q2,25.508925003330226
1958Q3,25.577653931377156
1958Q4,25.74103080480346
1959Q1,25.69026344168849
1959Q2,25.963375687979887
1959Q3,25.893019726858878
1959Q4,25.9562143984627
1960Q1,26.189125632437825
1960Q2,25.849701534963046
1960Q3,25.72060636831798
1960Q4,25.677043364946066
1961Q1,25.48132258303129
1961Q2,25.637348956426216
1961Q3,25.658478945860786
1961Q4,25.7034355479841
1962Q1,25.74830943003641
1962Q2,25.922042033306667
1962Q3,25.980539051063463
1962Q4,25.952463131471603
1963Q1,26.252754666067013
1963Q2,25.94350325795324
1963Q3,26.14544761904762
1963Q4,25.903752161816676
1964Q1,25.96434685522888
1964Q2,26.133589884551952
1964Q3,26.30692405157636
1964Q4,26.202327794451357
1965Q1,25.989700870882242
1965Q2,26.31566716641679
1965Q3,26.332612424491014
1965Q4,26.29824818588287
1966Q1,26.080834914611007
1966Q2,26.2470527174316
1966Q3,26.17591429626893
1966Q4,26.104575163398692
1967Q1,25.85503374578178
1967Q2,27.940866806086394
1967Q3,28.63425795550549
1967Q4,28.277485401196742
1968Q1,28.752475933236372
1968Q2,28.6990524581159
1968Q3,28.586259211096664
1968Q4,28.533564739013688
1969Q1,28.733364667964814
1969Q2,28.725737564885996
1969Q3,28.65219123505976
1969Q4,28.566719513806316
1970Q1,28.67379754905433
1970Q2,29.015138653084325
1970Q3,28.949760280910258
1970Q4,27.769537375849453
1971Q1,28.033001536508785
1971Q2,28.032619775739043
1971Q3,27.873941546025677
1971Q4,27.655194847439983
1972Q1,27.615311781414853
1972Q2,27.253741653235092
1972Q3,27.563327926466613
1972Q4,27.59160764399305
1973Q1,28.59697651978128
1973Q2,28.61619170107629
1973Q3,27.79088961193556
1973Q4,27.42947150648862
1974Q1,26.507262709742047
1974Q2,26.65289066971952
1974Q3,27.005499636816438
1974Q4,27.40511307767945
1975Q1,27.902728144338884
1975Q2,27.95846831132154
1975Q3,27.37618563685637
1975Q4,28.328207318809625
1976Q1,28.10549143571271
1976Q2,28.430410527821486
1976Q3,28.44477506199079
1976Q4,28.394663313774796
1977Q1,28.286682403106678
1977Q2,28.58208336213451
1977Q3,29.81679767721833
1977Q4,28.38199190498308
1978Q1,28.735469280060308
1978Q2,28.66274914089347
1978Q3,28.455626152900184
1978Q4,27.99196948403935
1979Q1,28.38746304756786
1979Q2,28.318050357264376
1979Q3,28.094349142280524
1979Q4,27.819730077120823
1980Q1,28.20072076710213
1980Q2,27.544056610192555
1980Q3,27.835585585585587
1980Q4,28.4332100545352
1981Q1,28.01171020460687
1981Q2,27.669614345369688
1981Q3,27.79682337992376
1981Q4,27.546768013066146
1982Q1,27.40936527098291
1982Q2,27.4098219237168
1982Q3,27.283223816548208
1982Q4,27.092724431324882
1983Q1,27.013039541201326
1983Q2,27.020448265274794
1983Q3,27.197120098039214
1983Q4,26.696535386437667
1984Q1,26.750552554027504
1984Q2,27.222236173017766
1984Q3,28.00556563066725
1984Q4,27.01265165769156
1985Q1,26.610428694263604
1985Q2,26.717105672831433
1985Q3,26.786100432484382
1985Q4,26.84030145343621
1986Q1,27.074169396350023
1986Q2,26.948980205763792
1986Q3,27.083901813305346
